小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,21,东南风,2,0,88,
15,21,东南风,3,0,88,24
14,21,东南风,3,0,89,26
13,21,东南风,3,0,87,26
12,21,东南风,3,0,87,26
11,21,东南风,3,0,87,25
10,20,东风,3,0,91,29
09,20,东南风,2,0,92,28
08,20,东南风,2,0,93,28
07,19,东风,2,0.1,93,26
06,19,东南风,2,0,93,26
05,19,东风,2,0,93,26
04,19,东南风,2,0,93,26
03,19,东南风,2,0,94,23
02,19,东南风,3,0,94,19
01,19,东南风,3,0,93,19
00,19,东南风,3,0,93,20
23,19,东南风,3,0,94,23
22,19,东风,3,0,94,24
21,19,东南风,2,0,92,26
20,19,东南风,3,0,92,29
19,19,东南风,3,0,91,29
18,19,东南风,3,0,90,30
17,20,东南风,3,0,88,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
17,17,北风,2,0,61,26
16,17,北风,2,0,60,30
15,17,东北风,2,0,60,27
14,17,北风,2,0,59,24
13,17,东北风,2,0,61,21
12,18,东北风,2,0,61,18
11,15,东北风,3,0,67,16
10,15,北风,2,0,71,14
09,14,东北风,2,0,73,14
08,14,北风,2,0,73,14
07,14,西北风,3,0,75,14
06,15,西北风,3,0,76,14
05,15,西北风,2,0,77,14
04,15,北风,3,0,79,14
03,15,西北风,3,0,81,14
02,16,西北风,2,0,83,16
01,16,北风,2,0,84,18
00,18,西北风,2,0,88,19
23,20,西北风,2,0.3,91,23
22,21,东风,2,0,89,
21,22,东风,1,0,88,29
20,22,西南风,1,0,88,26
19,22,西南风,2,0,88,28
18,22,西南风,2,0,86,23
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
17,10,东风,1,0,52,38
16,11,东风,2,0,51,38
15,12,东北风,2,0,49,33
14,12,东风,2,0,47,35
13,12,东北风,2,0,43,29
12,12,北风,2,0,47,24
11,10,东风,1,0,60,26
10,8,东南风,1,0,73,27
09,5,西风,0,0,100,27
08,1,北风,0,0,100,30
07,1,东北风,0,0,100,30
06,2,西风,0,0,100,23
05,3,东北风,0,0,100,21
04,3,东北风,0,0,100,25
03,4,西北风,0,0,93,23
02,6,西北风,0,0,87,17
01,6,西南风,0,0.1,85,20
00,7,北风,2,0.1,77,26
23,7,西南风,0,0,86,26
22,7,西南风,0,0,66,
21,8,北风,1,0,64,21
20,8,东北风,1,0,60,19
19,8,北风,1,0,58,24
18,9,北风,2,0,56,23
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
15,16,北风,1,0,44,
14,15,北风,2,0,46,
13,15,北风,2,0,47,87
12,14,北风,0,0,57,93
11,13,南风,1,0,66,93
10,11,西风,0,0,76,89
09,11,西风,0,0,73,89
08,10,南风,1,0,75,87
07,10,西北风,0,0,78,84
06,10,西北风,0,0,79,84
05,10,西北风,0,0,73,80
04,10,西北风,0,0,73,80
03,11,南风,0,0,69,80
02,12,南风,0,0,60,80
01,12,北风,1,0,58,79
00,12,北风,1,0,57,84
23,12,北风,1,0,56,83
22,13,北风,2,0,53,82
21,13,北风,2,0,51,85
20,13,北风,2,0,52,83
19,13,北风,2,0,50,83
18,14,北风,2,0,49,79
17,14,北风,2,0,49,79
16,14,北风,2,0,48,80
